Sorting times: (sorted 600 times), 
248, 465911
249, 485956
250, 482044
251, 408222
252, 401378
253, 585201
254, 533378
255, 410178
256, 1942356
257, 506978
258, 694711
259, 448800
260, 552934
261, 2194622
262, 434622
263, 488889
264, 450267
265, 482044
266, 549511
267, 456622
268, 500133
269, 404311
270, 525067
271, 591555
272, 399911
273, 456133
274, 398934
275, 510889
276, 395511
277, 460045
278, 399422
279, 479111
280, 495734
281, 396000
282, 439511
283, 458578
284, 397467
285, 490356
286, 517244
287, 398445
288, 408711
289, 398445
290, 542178
291, 444889
292, 437556
293, 465911
294, 337822
295, 326089
296, 425822
297, 368134
298, 326578
299, 329511
300, 327067
301, 374489
302, 374489
303, 330000
304, 329511
305, 327066
306, 483511
307, 328533
308, 328045
309, 376933
310, 332933
311, 377911
312, 328045
313, 330978
314, 330978
315, 332444
316, 446355
317, 336355
318, 332445
319, 359823
320, 399911
321, 418489
322, 328533
323, 362756
324, 328533
325, 384267
326, 409201
327, 362267
328, 362755
329, 327067
330, 373022
331, 378400
332, 362267
333, 366667
334, 329023
335, 363244
336, 408711
337, 439022
338, 365200
339, 328044
340, 358845
341, 328044
342, 378889
343, 372044
344, 330489
345, 388667
346, 328044
347, 377422
348, 373511
349, 326578
350, 327555
351, 334401
352, 401377
353, 332933
354, 330978
355, 396000
356, 330000
357, 375467
358, 367155
359, 329023
360, 365689
361, 403822
362, 329511
363, 376445
364, 327067
365, 371066
366, 391600
367, 382800
368, 370089
369, 369600
370, 329511
371, 380355
372, 730400
373, 455644
374, 428267
375, 334889
376, 362756
377, 361778
378, 365200
379, 372534
380, 327556
381, 329511
382, 327067
383, 1140089
384, 458578
385, 462489
386, 371556
387, 331466
388, 382800
389, 378400
390, 396977
391, 367644
392, 373511
393, 330489
394, 411156
395, 425823
396, 371556
397, 329511
398, 361289
399, 365689
400, 385733
401, 368133
402, 355911
403, 362755
404, 438045
405, 395022
406, 375956
407, 330489
408, 332933
409, 378889
410, 370577
411, 376444
412, 331466
413, 376445
414, 437556
415, 318267
416, 291866
417, 289911
418, 330000
419, 360311
420, 295778
421, 292845
422, 291867
423, 330489
424, 328533
425, 377911
426, 289911
427, 331956
428, 290889
429, 293333
430, 378400
431, 288933
432, 333911
433, 289422
434, 294800
435, 351511
436, 317289
437, 296266
438, 290400
439, 296267
440, 368622
441, 290400
442, 338312
443, 290889
444, 328044
445, 341733
446, 292844
447, 462000
448, 292356
449, 335867
450, 455156
451, 290889
452, 348089
453, 290889
454, 331956
455, 325600
456, 292356
457, 318267
458, 290888
459, 331956
460, 289422
461, 833067
462, 341734
463, 308489
464, 338800
465, 288445
466, 379867
467, 289911
468, 291867
469, 336844
470, 290400
471, 457112
472, 291867
473, 342712
474, 290400
475, 288445
476, 363244
477, 288444
478, 344178
479, 292844
480, 288933
481, 356400
482, 289911
483, 369600
484, 290400
485, 292356
486, 400401
487, 433644
488, 342222
489, 290889
490, 339778
491, 294800
492, 328045
493, 323156
494, 327066
495, 345644
496, 291867
497, 327066
498, 326578
499, 290400
500, 339778
501, 289911
502, 422400
503, 329022
504, 289422
505, 367155
506, 288933
507, 394534
508, 291378
509, 291866
510, 349066
511, 290889
512, 365689
513, 289912
514, 287956
515, 318267
516, 288445
517, 389644
518, 295289
519, 407245
520, 294311
521, 292356
522, 360311
523, 290400
524, 327067
525, 291867
526, 296756
527, 335378
528, 356889
529, 362267
530, 291867
531, 295777
532, 353466
533, 324622
534, 336355
535, 291378
536, 346133
537, 291378
538, 385734
539, 377422
540, 353956
541, 333422
542, 319733
543, 349067
544, 333422
545, 286978
546, 364711
547, 289422
548, 328533
549, 334400
550, 291377
551, 321689
552, 319245
553, 528978
554, 293333
555, 363733
556, 3479423
557, 288934
558, 490356
559, 250311
560, 221466
561, 267911
562, 220489
563, 271822
564, 218533
565, 261556
566, 224889
567, 256667
568, 277200
569, 235156
570, 290889
571, 223912
572, 221956
573, 255200
574, 218533
575, 268400
576, 275733
577, 221467
578, 256178
579, 218533
580, 271334
581, 253244
582, 257644
583, 220489
584, 220977
585, 270845
586, 219022
587, 258623
588, 219022
589, 220978
590, 275245
591, 743111
592, 379867
593, 228311
594, 255200
595, 216578
596, 215600
597, 259600
598, 215600
599, 250311
600, 217067
